"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_ID","stimulus","phase","set_duration","target_interval","reproduced_interval","reproduction_error"
"null","null","html-keyboard-response","1496","1172574","0.0-1496.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","1497","1172876","0.0-1497.0","","","isi","","","",""
"null","null","html-keyboard-response","1498","1173378","0.0-1498.0","","<div class=""circle set""></div>","set","500","","",""
"339"," ","html-keyboard-response","1499","1173718","0.0-1499.0","","","go","","300","339","39"
"null","null","html-keyboard-response","1500","1174220","0.0-1500.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","1501","1175223","0.0-1501.0","","<div style=""font-size: 48px;"">+</div>
            <p style=""font-size: 16px; text-align: center;"">Trial 249 of 300</p>","iti","","","",""
"null","null","html-keyboard-response","1502","1175726","0.0-1502.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","1503","1176628","0.0-1503.0","","","isi","","","",""
"null","null","html-keyboard-response","1504","1177130","0.0-1504.0","","<div class=""circle set""></div>","set","500","","",""
"536"," ","html-keyboard-response","1505","1177667","0.0-1505.0","","","go","","900","536","-364"
"null","null","html-keyboard-response","1506","1178168","0.0-1506.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","1507","1179171","0.0-1507.0","","<div style=""font-size: 48px;"">+</div>
            <p style=""font-size: 16px; text-align: center;"">Trial 250 of 300</p>","iti","","","",""
"null","null","html-keyboard-response","1508","1179673","0.0-1508.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","1509","1180175","0.0-1509.0","","","isi","","","",""
"null","null","html-keyboard-response","1510","1180677","0.0-1510.0","","<div class=""circle set""></div>","set","500","","",""
"628"," ","html-keyboard-response","1511","1181306","0.0-1511.0","","","go","","500","628","128"
"null","null","html-keyboard-response","1512","1181806","0.0-1512.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","1513","1182809","0.0-1513.0","","<div style=""font-size: 48px;"">+</div>
            <p style=""font-size: 16px; text-align: center;"">Trial 251 of 300</p>","iti","","","",""
"null","null","html-keyboard-response","1514","1183311","0.0-1514.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","1515","1184214","0.0-1515.0","","","isi","","","",""
"null","null","html-keyboard-response","1516","1184717","0.0-1516.0","","<div class=""circle set""></div>","set","500","","",""
