"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_ID","stimulus","phase","set_duration","target_interval","reproduced_interval","reproduction_error"
"null","null","html-keyboard-response","1005","763517","0.0-1005.0","","<div class=""circle set""></div>","set","500","","",""
"1875"," ","html-keyboard-response","1006","765393","0.0-1006.0","","","go","","1700","1875","175"
"null","null","html-keyboard-response","1007","765895","0.0-1007.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","1008","766898","0.0-1008.0","","<div style=""font-size: 48px;"">+</div>
            <p style=""font-size: 16px; text-align: center;"">Trial 167 of 300</p>","iti","","","",""
"null","null","html-keyboard-response","1009","767400","0.0-1009.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","1010","768802","0.0-1010.0","","","isi","","","",""
"null","null","html-keyboard-response","1011","769304","0.0-1011.0","","<div class=""circle set""></div>","set","500","","",""
"1750"," ","html-keyboard-response","1012","771054","0.0-1012.0","","","go","","1400","1750","350"
"null","null","html-keyboard-response","1013","771556","0.0-1013.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","1014","772559","0.0-1014.0","","<div style=""font-size: 48px;"">+</div>
            <p style=""font-size: 16px; text-align: center;"">Trial 168 of 300</p>","iti","","","",""
"null","null","html-keyboard-response","1015","773060","0.0-1015.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","1016","774562","0.0-1016.0","","","isi","","","",""
"null","null","html-keyboard-response","1017","775065","0.0-1017.0","","<div class=""circle set""></div>","set","500","","",""
"1613"," ","html-keyboard-response","1018","776679","0.0-1018.0","","","go","","1500","1613","113"
"null","null","html-keyboard-response","1019","777181","0.0-1019.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","1020","778184","0.0-1020.0","","<div style=""font-size: 48px;"">+</div>
            <p style=""font-size: 16px; text-align: center;"">Trial 169 of 300</p>","iti","","","",""
"null","null","html-keyboard-response","1021","778686","0.0-1021.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","1022","779989","0.0-1022.0","","","isi","","","",""
"null","null","html-keyboard-response","1023","780492","0.0-1023.0","","<div class=""circle set""></div>","set","500","","",""
"1451"," ","html-keyboard-response","1024","781943","0.0-1024.0","","","go","","1300","1451","151"
"null","null","html-keyboard-response","1025","782445","0.0-1025.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","1026","783448","0.0-1026.0","","<div style=""font-size: 48px;"">+</div>
            <p style=""font-size: 16px; text-align: center;"">Trial 170 of 300</p>","iti","","","",""
"null","null","html-keyboard-response","1027","783951","0.0-1027.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","1028","785553","0.0-1028.0","","","isi","","","",""
"null","null","html-keyboard-response","1029","786055","0.0-1029.0","","<div class=""circle set""></div>","set","500","","",""
"1865"," ","html-keyboard-response","1030","787921","0.0-1030.0","","","go","","1600","1865","265"
"null","null","html-keyboard-response","1031","788422","0.0-1031.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","1032","789426","0.0-1032.0","","<div style=""font-size: 48px;"">+</div>
            <p style=""font-size: 16px; text-align: center;"">Trial 171 of 300</p>","iti","","","",""
"null","null","html-keyboard-response","1033","789927","0.0-1033.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","1034","791629","0.0-1034.0","","","isi","","","",""
"null","null","html-keyboard-response","1035","792132","0.0-1035.0","","<div class=""circle set""></div>","set","500","","",""
"1860"," ","html-keyboard-response","1036","793993","0.0-1036.0","","","go","","1700","1860","160"
"null","null","html-keyboard-response","1037","794495","0.0-1037.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","1038","795498","0.0-1038.0","","<div style=""font-size: 48px;"">+</div>
            <p style=""font-size: 16px; text-align: center;"">Trial 172 of 300</p>","iti","","","",""
"null","null","html-keyboard-response","1039","795999","0.0-1039.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","1040","797301","0.0-1040.0","","","isi","","","",""
"null","null","html-keyboard-response","1041","797804","0.0-1041.0","","<div class=""circle set""></div>","set","500","","",""
"1510"," ","html-keyboard-response","1042","799314","0.0-1042.0","","","go","","1300","1510","210"
"null","null","html-keyboard-response","1043","799815","0.0-1043.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","1044","800818","0.0-1044.0","","<div style=""font-size: 48px;"">+</div>
            <p style=""font-size: 16px; text-align: center;"">Trial 173 of 300</p>","iti","","","",""
"null","null","html-keyboard-response","1045","801319","0.0-1045.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","1046","802721","0.0-1046.0","","","isi","","","",""
"null","null","html-keyboard-response","1047","803224","0.0-1047.0","","<div class=""circle set""></div>","set","500","","",""
"1491"," ","html-keyboard-response","1048","804716","0.0-1048.0","","","go","","1400","1491","91"
"null","null","html-keyboard-response","1049","805217","0.0-1049.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","1050","806221","0.0-1050.0","","<div style=""font-size: 48px;"">+</div>
            <p style=""font-size: 16px; text-align: center;"">Trial 174 of 300</p>","iti","","","",""
"null","null","html-keyboard-response","1051","806724","0.0-1051.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","1052","808326","0.0-1052.0","","","isi","","","",""
"null","null","html-keyboard-response","1053","808829","0.0-1053.0","","<div class=""circle set""></div>","set","500","","",""
"1945"," ","html-keyboard-response","1054","810774","0.0-1054.0","","","go","","1600","1945","345"
"null","null","html-keyboard-response","1055","811276","0.0-1055.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","1056","812279","0.0-1056.0","","<div style=""font-size: 48px;"">+</div>
            <p style=""font-size: 16px; text-align: center;"">Trial 175 of 300</p>","iti","","","",""
"null","null","html-keyboard-response","1057","812781","0.0-1057.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","1058","813983","0.0-1058.0","","","isi","","","",""
"null","null","html-keyboard-response","1059","814486","0.0-1059.0","","<div class=""circle set""></div>","set","500","","",""
"1344"," ","html-keyboard-response","1060","815831","0.0-1060.0","","","go","","1200","1344","144"
"null","null","html-keyboard-response","1061","816332","0.0-1061.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","1062","817335","0.0-1062.0","","<div style=""font-size: 48px;"">+</div>
            <p style=""font-size: 16px; text-align: center;"">Trial 176 of 300</p>","iti","","","",""
"null","null","html-keyboard-response","1063","817837","0.0-1063.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","1064","819240","0.0-1064.0","","","isi","","","",""
"null","null","html-keyboard-response","1065","819742","0.0-1065.0","","<div class=""circle set""></div>","set","500","","",""
"1350"," ","html-keyboard-response","1066","821093","0.0-1066.0","","","go","","1400","1350","-50"
"null","null","html-keyboard-response","1067","821595","0.0-1067.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","1068","822599","0.0-1068.0","","<div style=""font-size: 48px;"">+</div>
            <p style=""font-size: 16px; text-align: center;"">Trial 177 of 300</p>","iti","","","",""
"null","null","html-keyboard-response","1069","823101","0.0-1069.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","1070","824403","0.0-1070.0","","","isi","","","",""
"null","null","html-keyboard-response","1071","824906","0.0-1071.0","","<div class=""circle set""></div>","set","500","","",""
"1358"," ","html-keyboard-response","1072","826265","0.0-1072.0","","","go","","1300","1358","58"
"null","null","html-keyboard-response","1073","826766","0.0-1073.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","1074","827769","0.0-1074.0","","<div style=""font-size: 48px;"">+</div>
            <p style=""font-size: 16px; text-align: center;"">Trial 178 of 300</p>","iti","","","",""
"null","null","html-keyboard-response","1075","828271","0.0-1075.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","1076","829874","0.0-1076.0","","","isi","","","",""
